municipality,primary_county,population_est_2022,median_income,latitude,longitude,coordinates,east_west,municipality_profile,median_income_2014
Timpson,Shelby,996,43244,31.9060697,-94.3971134,"[31.9060697, -94.3971134]",east,https://directory.tml.org/profile/city/723,26250
Lakeport,Gregg,987,57608,32.4090405,-94.7052099,"[32.4090405, -94.7052099]",east,https://directory.tml.org/profile/city/1027,52917
New London,Rusk,976,53186,32.2387667,-94.9404949,"[32.2387667, -94.9404949]",east,https://directory.tml.org/profile/city/929,38750
Maud,Bowie,973,52934,33.3329014,-94.3426964,"[33.3329014, -94.3426964]",east,https://directory.tml.org/profile/city/873,33393
Calvert,Robertson,965,50816,30.9779651,-96.6738627,"[30.9779651, -96.6738627]",east,https://directory.tml.org/profile/city/1377,18875
Tom Bean,Grayson,964,62678,33.5201081,-96.4838749,"[33.5201081, -96.4838749]",east,https://directory.tml.org/profile/city/726,53482
New Waverly,Walker,956,43012,30.5377007,-95.483276,"[30.5377007, -95.483276]",east,https://directory.tml.org/profile/city/932,32039
Arp,Smith,954,62903,32.2254332,-95.0577207,"[32.2254332, -95.0577207]",east,https://directory.tml.org/profile/city/1296,45313
Waelder,Gonzales,948,48164,29.6952312,-97.2986015,"[29.6952312, -97.2986015]",east,https://directory.tml.org/profile/city/532,28750
East Mountain,Upshur,935,51634,32.5937539,-94.8554918,"[32.5937539, -94.8554918]",east,https://directory.tml.org/profile/city/1261,51739
Omaha,Morris,935,44957,33.180677,-94.7440964,"[33.180677, -94.7440964]",east,https://directory.tml.org/profile/city/949,34583
Centerville,Leon,932,51582,31.2579584,-95.978292,"[31.2579584, -95.978292]",east,https://directory.tml.org/profile/city/1172,40515
Groveton,Trinity,922,46569,31.0553605,-95.1266751,"[31.0553605, -95.1266751]",east,https://directory.tml.org/profile/city/1679,26250
Pineland,Sabine,898,46233,31.2507519,-93.9734065,"[31.2507519, -93.9734065]",east,https://directory.tml.org/profile/city/763,33875
East Tawakoni,Rains,883,57294,32.8842886,-95.9291335,"[32.8842886, -95.9291335]",east,https://directory.tml.org/profile/city/1262,38750
Bremond,Robertson,872,50816,31.1651817,-96.6769217,"[31.1651817, -96.6769217]",east,https://directory.tml.org/profile/city/1355,29063
New Summerfield,Cherokee,871,48664,31.9807226,-95.0938322,"[31.9807226, -95.0938322]",east,https://directory.tml.org/profile/city/930,42656
Thrall,Williamson,861,96653,30.5904772,-97.2969402,"[30.5904772, -97.2969402]",east,https://directory.tml.org/profile/city/719,52188
Trinidad,Henderson,856,50348,32.1440417,-96.0910813,"[32.1440417, -96.0910813]",east,https://directory.tml.org/profile/city/730,37083
Coldspring,San Jacinto,854,52302,30.592606,-95.1293175,"[30.592606, -95.1293175]",east,https://directory.tml.org/profile/city/70,33224
Redwater,Bowie,847,52934,33.3581802,-94.2543607,"[33.3581802, -94.2543607]",east,https://directory.tml.org/profile/city/588,45000
Celeste,Hunt,843,58326,33.2942917,-96.1952061,"[33.2942917, -96.1952061]",east,https://directory.tml.org/profile/city/1171,38083
Walnut Springs,Bosque,842,56041,32.0576479,-97.749471,"[32.0576479, -97.749471]",east,https://directory.tml.org/profile/city/535,32143
Hardin,Liberty,828,57174,30.1524348,-94.739089,"[30.1524348, -94.739089]",east,https://directory.tml.org/profile/city/1893,44167
Garrison,Nacogdoches,819,46970,31.8240279,-94.4908377,"[31.8240279, -94.4908377]",east,https://directory.tml.org/profile/city/1103,29083
Jewett,Leon,808,51582,31.3615664,-96.1441315,"[31.3615664, -96.1441315]",east,https://directory.tml.org/profile/city/991,44250
Trenton,Fannin,796,56794,33.4306652,-96.3385926,"[33.4306652, -96.3385926]",east,https://directory.tml.org/profile/city/729,43750
Knollwood,Grayson,790,62678,33.6895497,-96.6191596,"[33.6895497, -96.6191596]",east,https://directory.tml.org/profile/city/1672,43036
Clarksville City,Gregg,778,57608,32.5295896,-94.9029937,"[32.5295896, -94.9029937]",east,https://directory.tml.org/profile/city/1183,50417
Point,Rains,777,57294,32.9315089,-95.8713542,"[32.9315089, -95.8713542]",east,https://directory.tml.org/profile/city/903,29464
Log Cabin,Henderson,771,50348,32.2223716,-96.0219132,"[32.2223716, -96.0219132]",east,https://directory.tml.org/profile/city/583,30938
Ector,Fannin,770,56794,33.5773281,-96.2733145,"[33.5773281, -96.2733145]",east,https://directory.tml.org/profile/city/1263,44091
Lone Oak,Hunt,742,58326,32.9968197,-95.9401641,"[32.9968197, -95.9401641]",east,https://directory.tml.org/profile/city/427,41250
Beckville,Panola,737,54244,32.2429366,-94.4554782,"[32.2429366, -94.4554782]",east,https://directory.tml.org/profile/city/30,54313
Savoy,Fannin,735,56794,33.5992726,-96.3666506,"[33.5992726, -96.3666506]",east,https://directory.tml.org/profile/city/639,38125
Joaquin,Shelby,730,43244,31.9665156,-94.0562968,"[31.9665156, -94.0562968]",east,https://directory.tml.org/profile/city/992,25543
Cumby,Hopkins,699,56680,33.1373366,-95.8394083,"[33.1373366, -95.8394083]",east,https://directory.tml.org/profile/city/1223,48889
Burke,Angelina,697,50620,31.2313075,-94.7688688,"[31.2313075, -94.7688688]",east,https://directory.tml.org/profile/city/51,54219
Agua Dulce,Nueces,678,59337,27.781692,-97.9086105,"[27.781692, -97.9086105]",east,https://directory.tml.org/profile/city/1713,43542
Niederwald,Hays,673,79336,30.009384,-97.7280573,"[30.009384, -97.7280573]",east,https://directory.tml.org/profile/city/1654,51042
Point Blank,San Jacinto,673,52302,30.7477925,-95.218959,"[30.7477925, -95.218959]",east,https://directory.tml.org/profile/city/1531,44444
Surfside Beach,Brazoria,668,82165,28.9516604,-95.2875474,"[28.9516604, -95.2875474]",east,https://directory.tml.org/profile/city/697,48125
Driscoll,Nueces,665,59337,27.6744741,-97.7486072,"[27.6744741, -97.7486072]",east,https://directory.tml.org/profile/city/1252,36797
Golinda,Falls,657,46173,31.3776722,-97.0827751,"[31.3776722, -97.0827751]",east,https://directory.tml.org/profile/city/121,44432
Lott,Falls,651,46173,31.203512,-97.0366591,"[31.203512, -97.0366591]",east,https://directory.tml.org/profile/city/1174,36538
Bardwell,Ellis,650,87698,32.2690354,-96.6961027,"[32.2690354, -96.6961027]",east,https://directory.tml.org/profile/city/26,32778
Beasley,Fort Bend,644,98070,29.4974636,-95.9180099,"[29.4974636, -95.9180099]",east,https://directory.tml.org/profile/city/1319,44375
Frost,Navarro,636,51015,32.0801526,-96.8066611,"[32.0801526, -96.8066611]",east,https://directory.tml.org/profile/city/1095,29958
Zavalla,Angelina,606,50620,31.1570066,-94.4175741,"[31.1570066, -94.4175741]",east,https://directory.tml.org/profile/city/578,30000
Lovelady,Houston,579,45603,31.1268207,-95.44555,"[31.1268207, -95.44555]",east,https://directory.tml.org/profile/city/850,36250
Campbell,Hunt,571,58326,33.149386,-95.9513214,"[33.149386, -95.9513214]",east,https://directory.tml.org/profile/city/58,40357
Point Comfort,Calhoun,570,70662,28.6797169,-96.5602537,"[28.6797169, -96.5602537]",east,https://directory.tml.org/profile/city/769,52422
Cushing,Nacogdoches,569,46970,31.8169215,-94.8396428,"[31.8169215, -94.8396428]",east,https://directory.tml.org/profile/city/83,50000
Colmesneil,Tyler,552,46955,30.9093987,-94.4226266,"[30.9093987, -94.4226266]",east,https://directory.tml.org/profile/city/1196,42981
Appleby,Nacogdoches,551,46970,31.7162936,-94.6050183,"[31.7162936, -94.6050183]",east,https://directory.tml.org/profile/city/16,54583
Riverside,Walker,551,43012,30.8529664,-95.4035523,"[30.8529664, -95.4035523]",east,https://directory.tml.org/profile/city/811,51250
Roxton,Lamar,549,50787,33.5462168,-95.7257949,"[33.5462168, -95.7257949]",east,https://directory.tml.org/profile/city/1794,26563
Deport,Lamar,547,50787,33.5262198,-95.3157832,"[33.5262198, -95.3157832]",east,https://directory.tml.org/profile/city/93,33750
San Perlita,Willacy,542,37087,26.5011785,-97.6397111,"[26.5011785, -97.6397111]",east,https://directory.tml.org/profile/city/1797,28750
Snook,Burleson,527,57469,30.488816,-96.4644102,"[30.488816, -96.4644102]",east,https://directory.tml.org/profile/city/667,39531
Murchison,Henderson,523,50348,32.2784819,-95.7496858,"[32.2784819, -95.7496858]",east,https://directory.tml.org/profile/city/913,44063
Falls City,Karnes,513,48470,28.9827507,-98.0175047,"[28.9827507, -98.0175047]",east,https://directory.tml.org/profile/city/1070,49688
Liverpool,Brazoria,510,82165,29.2949612,-95.2788231,"[29.2949612, -95.2788231]",east,https://directory.tml.org/profile/city/1057,52188
Mount Enterprise,Rusk,507,53186,31.9179473,-94.6810439,"[31.9179473, -94.6810439]",east,https://directory.tml.org/profile/city/1989,30333
Easton,Gregg,505,57608,32.3873755,-94.5829828,"[32.3873755, -94.5829828]",east,https://directory.tml.org/profile/city/101,31250
Pine Forest,Orange,502,65908,30.1813215,-94.0343441,"[30.1813215, -94.0343441]",east,https://directory.tml.org/profile/city/761,53482
Fruitvale,Van Zandt,500,59929,32.6831851,-95.8032979,"[32.6831851, -95.8032979]",east,https://directory.tml.org/profile/city/113,32734
Talco,Titus,488,49513,33.3626129,-95.1046638,"[33.3626129, -95.1046638]",east,https://directory.tml.org/profile/city/1821,31250
Smiley,Gonzales,483,48164,29.2677433,-97.6358283,"[29.2677433, -97.6358283]",east,https://directory.tml.org/profile/city/1807,32159
Hawk Cove,Hunt,470,58326,32.8851053,-96.082225,"[32.8851053, -96.082225]",east,https://directory.tml.org/profile/city/452,37750
Morgan,Bosque,462,56041,32.0187622,-97.6083551,"[32.0187622, -97.6083551]",east,https://directory.tml.org/profile/city/902,33125
Union Grove,Upshur,461,51634,32.5793067,-94.9183563,"[32.5793067, -94.9183563]",east,https://directory.tml.org/profile/city/1852,46875
Angus,Navarro,458,51015,32.0051302,-96.437309,"[32.0051302, -96.437309]",east,https://directory.tml.org/profile/city/12,28333
Leary,Bowie,446,52934,33.460123,-94.2076945,"[33.460123, -94.2076945]",east,https://directory.tml.org/profile/city/1042,51818
Oglesby,Coryell,440,59718,31.4185003,-97.5072379,"[31.4185003, -97.5072379]",east,https://directory.tml.org/profile/city/1634,43333
Creedmoor,Travis,434,84519,30.0899368,-97.7338917,"[30.0899368, -97.7338917]",east,https://directory.tml.org/profile/city/81,32000
Winfield,Titus,418,49513,33.16734,-95.1118843,"[33.16734, -95.1118843]",east,https://directory.tml.org/profile/city/1873,33889
Milano,Milam,417,53320,30.7104729,-96.863314,"[30.7104729, -96.863314]",east,https://directory.tml.org/profile/city/1977,28375
Devers,Liberty,412,57174,30.0274371,-94.5915841,"[30.0274371, -94.5915841]",east,https://directory.tml.org/profile/city/94,39861
Bedias,Grimes,380,52540,30.7757486,-95.949397,"[30.7757486, -95.949397]",east,https://directory.tml.org/profile/city/240,45833
Chireno,Nacogdoches,373,46970,31.5076007,-94.3543659,"[31.5076007, -94.3543659]",east,https://directory.tml.org/profile/city/1411,39545
Huxley,Shelby,362,43244,31.7612138,-93.8689522,"[31.7612138, -93.8689522]",east,https://directory.tml.org/profile/city/973,37143
Edom,Van Zandt,356,59929,32.3723675,-95.6088495,"[32.3723675, -95.6088495]",east,https://directory.tml.org/profile/city/1637,52639
Kendleton,Fort Bend,348,98070,29.4507991,-95.9946785,"[29.4507991, -95.9946785]",east,https://directory.tml.org/profile/city/1887,20192
Sadler,Grayson,343,62678,33.6826063,-96.8483346,"[33.6826063, -96.8483346]",east,https://directory.tml.org/profile/city/1796,37143
Reklaw,Cherokee,339,48664,31.8626716,-94.9877175,"[31.8626716, -94.9877175]",east,https://directory.tml.org/profile/city/800,32679
Rose City,Orange,336,65908,30.1032495,-94.0520894,"[30.1032495, -94.0520894]",east,https://directory.tml.org/profile/city/1791,38021
Gallatin,Cherokee,334,48664,31.8910032,-95.1454998,"[31.8910032, -95.1454998]",east,https://directory.tml.org/profile/city/116,40938
Nordheim,DeWitt,334,54279,28.9210896,-97.6097188,"[28.9210896, -97.6097188]",east,https://directory.tml.org/profile/city/937,37250
Scottsville,Harrison,334,56645,32.5404281,-94.2382471,"[32.5404281, -94.2382471]",east,https://directory.tml.org/profile/city/1888,43333
Eureka,Navarro,333,51015,32.0126567,-96.29581,"[32.0126567, -96.29581]",east,https://directory.tml.org/profile/city/1650,53542
Callisburg,Cooke,326,58060,33.6978844,-97.0088971,"[33.6978844, -97.0088971]",east,https://directory.tml.org/profile/city/621,44167
Orchard,Fort Bend,317,98070,29.6041269,-95.9696778,"[29.6041269, -95.9696778]",east,https://directory.tml.org/profile/city/1759,37250
Mount Calm,Hill,301,52495,31.7562739,-96.8791613,"[31.7562739, -96.8791613]",east,https://directory.tml.org/profile/city/907,37917
Covington,Hill,289,52495,32.1784832,-97.2580677,"[32.1784832, -97.2580677]",east,https://directory.tml.org/profile/city/1212,36071
Granjeno,Hidalgo,288,44260,26.1347979,-98.3047363,"[26.1347979, -98.3047363]",east,https://directory.tml.org/profile/city/1486,53571
Cranfills Gap,Bosque,282,56041,31.7737659,-97.8258601,"[31.7737659, -97.8258601]",east,https://directory.tml.org/profile/city/1215,35781
Industry,Austin,277,68150,29.9724459,-96.5021927,"[29.9724459, -96.5021927]",east,https://directory.tml.org/profile/city/1478,31071
Kennard,Houston,277,45603,31.3595701,-95.1846665,"[31.3595701, -95.1846665]",east,https://directory.tml.org/profile/city/1921,29250
Goodrich,Polk,269,50827,30.6060537,-94.9472634,"[30.6060537, -94.9472634]",east,https://directory.tml.org/profile/city/1117,43295
North Cleveland,Liberty,255,57174,30.3589116,-95.0962013,"[30.3589116, -95.0962013]",east,https://directory.tml.org/profile/city/2008,27500
Fayetteville,Fayette,244,64711,29.9057817,-96.6727528,"[29.9057817, -96.6727528]",east,https://directory.tml.org/profile/city/1075,31071
Carmine,Fayette,243,64711,30.1493838,-96.6860862,"[30.1493838, -96.6860862]",east,https://directory.tml.org/profile/city/1383,34250
Latexo,Houston,240,45603,31.394675,-95.4760213,"[31.394675, -95.4760213]",east,https://directory.tml.org/profile/city/1941,30682
Bailey,Fannin,231,56794,33.4320531,-96.1658091,"[33.4320531, -96.1658091]",east,https://directory.tml.org/profile/city/24,48750
Barry,Navarro,230,51015,32.0993189,-96.6361002,"[32.0993189, -96.6361002]",east,https://directory.tml.org/profile/city/27,32422
Anderson,Grimes,200,52540,30.4876971,-95.9924515,"[30.4876971, -95.9924515]",east,https://directory.tml.org/profile/city/1477,44412
Ross,McLennan,200,58524,31.7184962,-97.1191695,"[31.7184962, -97.1191695]",east,https://directory.tml.org/profile/city/1218,40625
La Ward,Jackson,192,60666,28.8438769,-96.4641388,"[28.8438769, -96.4641388]",east,https://directory.tml.org/profile/city/1931,52917
Marquez,Leon,189,51582,31.2393469,-96.2535765,"[31.2393469, -96.2535765]",east,https://directory.tml.org/profile/city/869,41944
Staples,Guadalupe,189,80145,29.7814011,-97.8362177,"[29.7814011, -97.8362177]",east,https://directory.tml.org/profile/city/42006,46061
Ravenna,Fannin,184,56794,33.6728814,-96.2416484,"[33.6728814, -96.2416484]",east,https://directory.tml.org/profile/city/1549,54107
Pecan Gap,Delta,181,50329,33.4370521,-95.8466311,"[33.4370521, -95.8466311]",east,https://directory.tml.org/profile/city/1731,29500
Moore Station,Henderson,161,50348,32.181821,-95.5669032,"[32.181821, -95.5669032]",east,https://directory.tml.org/profile/city/1987,19773
Mobile City,Rockwall,154,120696,32.9226225,-96.4110959,"[32.9226225, -96.4110959]",east,https://directory.tml.org/profile/city/1652,27500
Browndell,Jasper,153,50038,31.1260943,-93.9801176,"[31.1260943, -93.9801176]",east,https://directory.tml.org/profile/city/46,31250
Todd Mission,Grimes,126,52540,30.2615994,-95.8302284,"[30.2615994, -95.8302284]",east,https://directory.tml.org/profile/city/1841,41429
Austwell,Refugio,115,46695,28.3902814,-96.842208,"[28.3902814, -96.842208]",east,https://directory.tml.org/profile/city/1302,40893
Aquilla,Hill,108,52495,31.8515484,-97.2180635,"[31.8515484, -97.2180635]",east,https://directory.tml.org/profile/city/1290,38036
Toco,Lamar,92,50787,33.6548268,-95.6460712,"[33.6548268, -95.6460712]",east,https://directory.tml.org/profile/city/1840,26750
Petronila,Nueces,84,59337,27.671975,-97.6358282,"[27.671975, -97.6358282]",east,https://directory.tml.org/profile/city/1451,53542
Uncertain,Harrison,83,56645,32.7120883,-94.1212965,"[32.7120883, -94.1212965]",east,https://directory.tml.org/profile/city/1851,29375
Sun Valley,Lamar,73,50787,33.6645513,-95.4282875,"[33.6645513, -95.4282875]",east,https://directory.tml.org/profile/city/1820,51458
Seven Oaks,Polk,72,50827,30.8532056,-94.8552386,"[30.8532056, -94.8552386]",east,https://directory.tml.org/profile/city/1802,39583
Dayton Lakes,Liberty,52,57174,30.1446577,-94.8221464,"[30.1446577, -94.8221464]",east,https://directory.tml.org/profile/city/1232,30893
